,author_name,book_name,book_category,book_language,number_of_pages,publisher,book_size
186,أحمد خالد توفيق,الجزيرة الغامضة ,   الروايات العالمية المترجمة  روايات عربية,Arabic,156,  العربية الحديثة,7.7
187,أحمد خالد توفيق,الرجل الذي كان ,   الروايات العالمية المترجمة  روايات عربية,Arabic,126,  العربية الحديثة,5.7
188,أحمد خالد توفيق,قضية الذئب ,   الروايات العالمية المترجمة  روايات عربية,Arabic,142,  العربية الحديثة,6.5
189,أحمد خالد توفيق,الغريم الخفي ,   الروايات العالمية المترجمة  روايات عربية,Arabic,174,  العربية الحديثة,7.2
190,أحمد خالد توفيق,خلف جدار النوم ,   الروايات العالمية المترجمة  روايات عربية,Arabic,158,  العربية الحديثة,7.5
191,أحمد خالد توفيق,ما وراء العالم ,   الروايات العالمية المترجمة  روايات عربية,Arabic,154,  العربية الحديثة,6.6
192,أحمد خالد توفيق,العميل للكاتب احمد خالد توفيق ,   الروايات العالمية المترجمة  روايات عربية,Arabic,236,  العربية الحديثة,10
193,أحمد خالد توفيق,وصية الثلاثين ألف ,   الروايات العالمية المترجمة  روايات عربية,Arabic,140,  العربية الحديثة,5.7
194,أحمد خالد توفيق,رحيق الملكات ,   الروايات العالمية المترجمة  روايات عربية,Arabic,158,  العربية الحديثة,6.2
195,أحمد خالد توفيق,عرين الدودة البيضاء ,   الروايات العالمية المترجمة  روايات عربية,Arabic,170,  العربية الحديثة,7.8
196,أحمد خالد توفيق,جزيرة الدكتور مورو ,   الروايات العالمية المترجمة  روايات عربية,Arabic,142,  العربية الحديثة,6.5
197,أحمد خالد توفيق,لا تنظري الآن ,   الروايات العالمية المترجمة,Arabic,155,  العربية الحديثة,7
198,أحمد خالد توفيق,الجزيرة ,   الروايات العالمية المترجمة,Arabic,160,  العربية الحديثة,7.3
199,أحمد خالد توفيق,النطاق المسموم ,   الروايات العالمية المترجمة,Arabic,122,  العربية الحديثة,5.9
200,أحمد خالد توفيق,مطار 77 ,   الروايات العالمية المترجمة,Arabic,120,  العربية الحديثة,6
201,أحمد خالد توفيق,الحزاز ,   الروايات العالمية المترجمة  روايات عربية,Arabic,130,  العربية الحديثة,6.3
202,أحمد خالد توفيق,مدينة مثل اليس ,   الروايات العالمية المترجمة,Arabic,120,  العربية الحديثة,5.4
203,أحمد خالد توفيق,كلب آل باسكرفيل ,   روايات عربية,Arabic,130,  العربية الحديثة,6.2
204,أحمد خالد توفيق,كونغو ,   روايات عربية,Arabic,192,  العربية الحديثة,8.5
205,أحمد خالد توفيق,سباق الموت ,   الروايات العالمية المترجمة  روايات عربية,Arabic,190,  العربية الحديثة,7.5
206,أحمد خالد توفيق,الف ليلة وليلة ,   الروايات العالمية المترجمة,Arabic,154,  العربية الحديثة,7.7
207,أحمد خالد توفيق,صانع الامطار ,   الروايات العالمية المترجمة,Arabic,202,  العربية الحديثة,10
